Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb_top.uut.rom.inst.native_mem_module.blk_mem_gen_v8_4_9_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module tb_top.uut.ram.inst.native_mem_module.blk_mem_gen_v8_4_9_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Tiempo | addr        | valid ready | wstrb | tx_req | tx_data
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_tx.sv:51
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_tx.sv:84
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_rx.sv:69
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_rx.sv:69
             1905000 | 00000014 |   1     1   |  0000   |   0    |   00
             1915000 | 00000014 |   0     0   |  0000   |   0    |   00
             1935000 | 00000018 |   1     0   |  0000   |   0    |   00
             1945000 | 00000018 |   1     1   |  0000   |   0    |   00
             1955000 | 00000018 |   0     0   |  0000   |   0    |   00
             1965000 | 00000018 |   1     0   |  1111   |   0    |   00
             1975000 | 00000018 |   1     1   |  1111   |   0    |   00
             1985000 | 00000018 |   0     0   |  1111   |   0    |   00
             2005000 | 00000008 |   1     0   |  0000   |   0    |   00
             2015000 | 00000008 |   1     1   |  0000   |   0    |   00
             2025000 | 00000008 |   0     0   |  0000   |   0    |   00
             2045000 | 0000000c |   1     0   |  0000   |   0    |   00
             2055000 | 0000000c |   1     1   |  0000   |   0    |   00
             2065000 | 0000000c |   0     0   |  0000   |   0    |   00
             2085000 | 00000010 |   1     0   |  0000   |   0    |   00
             2095000 | 00000010 |   1     1   |  0000   |   0    |   00
             2105000 | 00000010 |   0     0   |  0000   |   0    |   00
             2115000 | 00000018 |   1     0   |  1111   |   0    |   00
             2125000 | 00000018 |   1     1   |  1111   |   0    |   00
             2135000 | 00000018 |   0     0   |  1111   |   0    |   00
             2155000 | 00000014 |   1     0   |  0000   |   0    |   00
             2165000 | 00000014 |   1     1   |  0000   |   0    |   00
             2175000 | 00000014 |   0     0   |  0000   |   0    |   00
             2195000 | 00000018 |   1     0   |  0000   |   0    |   00
             2205000 | 00000018 |   1     1   |  0000   |   0    |   00
             2215000 | 00000018 |   0     0   |  0000   |   0    |   00
             2225000 | 00000018 |   1     0   |  1111   |   0    |   00
             2235000 | 00000018 |   1     1   |  1111   |   0    |   00
             2245000 | 00000018 |   0     0   |  1111   |   0    |   00
             2265000 | 00000008 |   1     0   |  0000   |   0    |   00
             2275000 | 00000008 |   1     1   |  0000   |   0    |   00
             2285000 | 00000008 |   0     0   |  0000   |   0    |   00
             2305000 | 0000000c |   1     0   |  0000   |   0    |   00
             2315000 | 0000000c |   1     1   |  0000   |   0    |   00
             2325000 | 0000000c |   0     0   |  0000   |   0    |   00
             2345000 | 00000010 |   1     0   |  0000   |   0    |   00
             2355000 | 00000010 |   1     1   |  0000   |   0    |   00
             2365000 | 00000010 |   0     0   |  0000   |   0    |   00
             2375000 | 00000018 |   1     0   |  1111   |   0    |   00
             2385000 | 00000018 |   1     1   |  1111   |   0    |   00
             2395000 | 00000018 |   0     0   |  1111   |   0    |   00
             2415000 | 00000014 |   1     0   |  0000   |   0    |   00
             2425000 | 00000014 |   1     1   |  0000   |   0    |   00
             2435000 | 00000014 |   0     0   |  0000   |   0    |   00
             2455000 | 00000018 |   1     0   |  0000   |   0    |   00
             2465000 | 00000018 |   1     1   |  0000   |   0    |   00
             2475000 | 00000018 |   0     0   |  0000   |   0    |   00
             2485000 | 00000018 |   1     0   |  1111   |   0    |   00
             2495000 | 00000018 |   1     1   |  1111   |   0    |   00
             2505000 | 00000018 |   0     0   |  1111   |   0    |   00
             2525000 | 00000008 |   1     0   |  0000   |   0    |   00
             2535000 | 00000008 |   1     1   |  0000   |   0    |   00
             2545000 | 00000008 |   0     0   |  0000   |   0    |   00
             2565000 | 0000000c |   1     0   |  0000   |   0    |   00
             2575000 | 0000000c |   1     1   |  0000   |   0    |   00
             2585000 | 0000000c |   0     0   |  0000   |   0    |   00
             2605000 | 00000010 |   1     0   |  0000   |   0    |   00
